id;start_date;end_date;language
1;2020-11-03T19:49:33;2020-11-03T17:39:48;SPANISH
2;2020-11-03T00:39:44;2020-11-03T19:44:09;SPANISH
3;2020-11-03T15:35:03;2020-11-03T02:09:12;FRENCH
4;2020-11-03T06:52:34;2020-11-03T18:24:00;FRENCH
5;2020-11-03T16:22:52;2020-11-03T21:09:51;FRENCH
6;2020-11-03T10:15:13;2020-11-03T22:23:27;FRENCH
7;2020-11-03T12:00:33;2020-11-03T05:51:24;FRENCH
8;2020-11-03T10:56:46;2020-11-03T21:12:54;SPANISH
9;2020-11-03T09:37:55;2020-11-03T06:19:18;SPANISH
10;2020-11-03T17:49:59;2020-11-03T04:24:29;SPANISH
